DateID,Date,Year,Month,Day,Quarter,WeekOfYear,DayOfWeek,DayName,MonthName,IsWeekend,IsMonthStart,IsMonthEnd,IsQuarterStart,IsQuarterEnd,IsYearStart,IsYearEnd
142,2013-10-28,2013,10,28,4,44,1,Monday,October,0,0,0,0,0,0,0
143,2013-10-29,2013,10,29,4,44,2,Tuesday,October,0,0,0,0,0,0,0
144,2013-10-30,2013,10,30,4,44,3,Wednesday,October,0,0,0,0,0,0,0
145,2013-10-31,2013,10,31,4,44,4,Thursday,October,0,0,1,0,0,0,0
146,2013-11-01,2013,11,1,4,44,5,Friday,November,0,1,0,0,0,0,0
147,2013-11-02,2013,11,2,4,44,6,Saturday,November,1,0,0,0,0,0,0
148,2013-11-03,2013,11,3,4,44,7,Sunday,November,1,0,0,0,0,0,0
149,2013-11-04,2013,11,4,4,45,1,Monday,November,0,0,0,0,0,0,0
150,2013-11-05,2013,11,5,4,45,2,Tuesday,November,0,0,0,0,0,0,0
151,2013-11-06,2013,11,6,4,45,3,Wednesday,November,0,0,0,0,0,0,0
152,2013-11-07,2013,11,7,4,45,4,Thursday,November,0,0,0,0,0,0,0
153,2013-11-08,2013,11,8,4,45,5,Friday,November,0,0,0,0,0,0,0
154,2013-11-09,2013,11,9,4,45,6,Saturday,November,1,0,0,0,0,0,0
155,2013-11-10,2013,11,10,4,45,7,Sunday,November,1,0,0,0,0,0,0
156,2013-11-11,2013,11,11,4,46,1,Monday,November,0,0,0,0,0,0,0
157,2013-11-12,2013,11,12,4,46,2,Tuesday,November,0,0,0,0,0,0,0
158,2013-11-13,2013,11,13,4,46,3,Wednesday,November,0,0,0,0,0,0,0
159,2013-11-14,2013,11,14,4,46,4,Thursday,November,0,0,0,0,0,0,0
160,2013-11-15,2013,11,15,4,46,5,Friday,November,0,0,0,0,0,0,0
161,2013-11-16,2013,11,16,4,46,6,Saturday,November,1,0,0,0,0,0,0
162,2013-11-17,2013,11,17,4,46,7,Sunday,November,1,0,0,0,0,0,0
163,2013-11-18,2013,11,18,4,47,1,Monday,November,0,0,0,0,0,0,0
164,2013-11-19,2013,11,19,4,47,2,Tuesday,November,0,0,0,0,0,0,0
165,2013-11-20,2013,11,20,4,47,3,Wednesday,November,0,0,0,0,0,0,0
166,2013-11-21,2013,11,21,4,47,4,Thursday,November,0,0,0,0,0,0,0
167,2013-11-22,2013,11,22,4,47,5,Friday,November,0,0,0,0,0,0,0
168,2013-11-23,2013,11,23,4,47,6,Saturday,November,1,0,0,0,0,0,0
169,2013-11-24,2013,11,24,4,47,7,Sunday,November,1,0,0,0,0,0,0
170,2013-11-25,2013,11,25,4,48,1,Monday,November,0,0,0,0,0,0,0
171,2013-11-26,2013,11,26,4,48,2,Tuesday,November,0,0,0,0,0,0,0
172,2013-11-27,2013,11,27,4,48,3,Wednesday,November,0,0,0,0,0,0,0
173,2013-11-28,2013,11,28,4,48,4,Thursday,November,0,0,0,0,0,0,0
174,2013-11-29,2013,11,29,4,48,5,Friday,November,0,0,0,0,0,0,0
175,2013-11-30,2013,11,30,4,48,6,Saturday,November,1,0,1,0,0,0,0
176,2013-12-01,2013,12,1,4,48,7,Sunday,December,1,1,0,0,0,0,0
177,2013-12-02,2013,12,2,4,49,1,Monday,December,0,0,0,0,0,0,0
178,2013-12-03,2013,12,3,4,49,2,Tuesday,December,0,0,0,0,0,0,0
